# BE16 Kubelka-Munk unit absorption (K) and scattering (S) coefficients.
# Source: R.S. Berns, "Artist Paint Spectral Database", CIC24 (2016) - RIT,
#   Final_artist_database.xlsx, sheet "k and s data". NINETEEN Golden Heavy
#   Body acrylic-dispersion paints, measured 380-750 nm @ 10 nm on a Macbeth
#   MS7000 integrating sphere (SPIN, 4 measurements averaged); two-constant
#   KM by the masstone-tint method, scattering of white defined as unity.
#   Saunderson k1=0.03, k2=0.65, kInstrument=1.0.
#
# RESCUED 2026-08-30. The source spreadsheet was lost and the RIT and
#   grayskyimaging links are both dead, so these numbers were read back out
#   of the generated src/color/pigments.ts verbatim - not re-derived, not
#   re-fitted. This file now IS the provenance of record for the library.
#   Only the 12 columns the engine took survive here; the other 7 paints in
#   BE16 (incl. C.P. Cadmium Red Light PR108) are NOT recoverable from it.
quantity,wavelength_nm,titanium-white,hansa-yellow,diarylide-yellow,cadmium-orange,pyrrole-red,quinacridone-red,quinacridone-magenta,dioxazine-purple,ultramarine-blue,phthalo-blue-gs,phthalo-green-bs,bone-black
K,380,0.530001,0.5121,0.387758,0.213736,0.48394,0.323017,0.281838,0.187093,0.206247,0.163807,0.939626,0.317811
K,390,0.227441,0.811954,0.812507,0.519797,0.363848,0.138453,0.131111,0.245614,0.066418,0.241745,1.059422,0.233952
K,400,0.049813,0.996836,1.08504,0.709204,0.359078,0.088863,0.087008,0.282241,0.025947,0.30536,1.134922,0.20452
K,410,0.00576,1.035421,1.139217,0.676285,0.37739,0.07173,0.071711,0.232552,0.014739,0.192751,0.972167,0.189464
K,420,0.000366,1.143803,1.27406,0.692274,0.428871,0.074497,0.069748,0.206234,0.009165,0.15486,0.865223,0.188814
K,430,2.2e-05,1.267676,1.430013,0.717321,0.490581,0.092721,0.079203,0.187844,0.00653,0.108598,0.749365,0.19318
K,440,6e-06,1.387756,1.566877,0.742776,0.549134,0.125674,0.098199,0.185709,0.005486,0.051224,0.631273,0.197596
K,450,3e-06,1.480495,1.679481,0.764609,0.599818,0.171372,0.125924,0.205564,0.005341,0.028519,0.485756,0.20126
K,460,3e-06,1.565093,1.785741,0.788832,0.652313,0.22303,0.162523,0.254073,0.007007,0.025339,0.320486,0.205477
K,470,6e-06,1.645371,1.826798,0.815816,0.704439,0.296523,0.209055,0.33354,0.011775,0.027898,0.180033,0.210521
K,480,6e-06,1.607716,1.810934,0.838941,0.743192,0.393424,0.277697,0.474428,0.021564,0.037498,0.100146,0.214666
K,490,8e-06,1.234763,1.855056,0.864325,0.778249,0.464188,0.368056,0.746616,0.039834,0.058116,0.058082,0.219283
K,500,9e-06,0.552126,1.827913,0.876431,0.816448,0.522942,0.455803,1.148412,0.068642,0.092805,0.048544,0.223503
K,510,9e-06,0.112331,1.462057,0.85688,0.856553,0.655906,0.573752,1.648904,0.107446,0.136088,0.058692,0.227028
K,520,1.2e-05,0.02293,0.736925,0.838735,0.892459,0.803316,0.806135,2.393069,0.159077,0.223427,0.080492,0.231949
K,530,1.1e-05,0.005008,0.170016,0.802193,0.902181,0.778562,1.062691,3.24766,0.215666,0.371032,0.112493,0.23561
K,540,1.2e-05,0.001285,0.035921,0.613912,0.942925,0.736407,1.12167,3.605524,0.275139,0.609419,0.17133,0.239627
K,550,1.4e-05,0.000509,0.009341,0.281178,1.027593,0.880996,1.08438,3.721896,0.333574,1.006277,0.269557,0.243895
K,560,1.8e-05,0.000308,0.002851,0.072204,1.101421,0.94836,1.139627,4.039743,0.387949,1.642063,0.420962,0.248468
K,570,1.9e-05,0.000228,0.000979,0.019285,1.098301,0.665475,1.013705,4.198034,0.434792,2.458098,0.631829,0.252356
K,580,2e-05,0.000182,0.00048,0.005262,0.894735,0.302496,0.599389,3.591969,0.474067,3.233303,0.938822,0.256409
K,590,2.4e-05,0.000157,0.000355,0.001606,0.334737,0.117818,0.273591,2.62165,0.507307,3.845117,1.377001,0.261396
K,600,2.6e-05,0.000137,0.000305,0.000558,0.067649,0.039309,0.110809,2.009773,0.529977,4.507573,1.94548,0.266029
K,610,3e-05,0.000127,0.000282,0.000279,0.018713,0.013152,0.044007,1.980808,0.542218,5.113857,2.499972,0.270997
K,620,3e-05,0.000113,0.000259,0.000178,0.006205,0.005992,0.018022,2.345855,0.5426,5.377355,2.90995,0.275253
K,630,2.9e-05,9.7e-05,0.000229,0.000131,0.002298,0.00378,0.008787,2.450138,0.530975,5.502373,3.235015,0.280079
K,640,2.9e-05,8.5e-05,0.000202,0.000107,0.001093,0.002824,0.005101,1.859921,0.506943,5.528621,3.589358,0.284478
K,650,2.6e-05,8.2e-05,0.000192,9.7e-05,0.000686,0.002308,0.003442,1.117763,0.470622,5.317024,4.082012,0.289276
K,660,2.5e-05,6.7e-05,0.000164,7.9e-05,0.000481,0.001964,0.002565,0.600373,0.42035,4.974936,4.21186,0.293657
K,670,2.4e-05,6.1e-05,0.000154,7.2e-05,0.000383,0.001735,0.00211,0.318099,0.360049,4.935743,3.824358,0.297692
K,680,2.6e-05,6.2e-05,0.000154,6.8e-05,0.000337,0.00155,0.001835,0.170308,0.294584,5.190236,3.299828,0.302184
K,690,2.8e-05,6e-05,0.00015,6.4e-05,0.000306,0.001392,0.001639,0.095654,0.228044,5.639723,2.873273,0.306968
